 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                   Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                            |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|    ver    | Date  | Time  |         Sequence             | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
|10.2/(FRExt)| 12-Ju | 03:01 |      input_base_4CIF_0to8.yuv|    3 |  0/0  | 22 | 23 | 24 | 704x576 |    0  |  3 |  OFF |  ON  |  15 |  1  | 30.00| CABAC|   1  |   OFF   |  0  | 44.118| 48.006| 48.833| 42.161| 46.846| 47.756| 808640| 839413|1436880|  3085493|          90873   |          40805   |
|10.2/(FRExt)| 12-Ju | 03:02 |      input_base_4CIF_0to8.yuv|    3 |  0/0  | 22 | 23 | 24 | 704x576 |    0  |  3 |  OFF |  ON  |  15 |  1  | 30.00| CABAC|   1  |   OFF   |  0  | 44.118| 48.006| 48.833| 42.161| 46.846| 47.756| 808640| 839413|1436880|  3085493|          90765   |          40799   |
|10.2/(FRExt)| 12-Ju | 03:04 |      input_base_4CIF_0to8.yuv|    3 |  0/0  | 22 | 23 | 24 | 704x576 |    0  |  3 |  OFF |  ON  |  15 |  1  | 30.00| CABAC|   1  |   OFF   |  0  | 44.118| 48.006| 48.833| 42.161| 46.846| 47.756| 808640| 839413|1436880|  3085493|          90476   |          40721   |
|10.2/(FRExt)| 12-Ju | 03:05 |      input_base_4CIF_0to8.yuv|    3 |  0/0  | 22 | 23 | 24 | 704x576 |    0  |  3 |  OFF |  ON  |  15 |  1  | 30.00| CABAC|   1  |   OFF   |  0  | 44.118| 48.006| 48.833| 42.161| 46.846| 47.756| 808640| 839413|1436880|  3085493|          90451   |          40800   |
|10.2/(FRExt)| 12-Ju | 03:07 |      input_base_4CIF_0to8.yuv|    3 |  0/0  | 22 | 23 | 24 | 704x576 |    0  |  3 |  OFF |  ON  |  15 |  1  | 30.00| CABAC|   1  |   OFF   |  0  | 44.118| 48.006| 48.833| 42.161| 46.846| 47.756| 808640| 839413|1436880|  3085493|          90586   |          41001   |
|10.2/(FRExt)| 12-Ju | 03:08 |      input_base_4CIF_0to8.yuv|    3 |  0/0  | 22 | 23 | 24 | 704x576 |    0  |  3 |  OFF |  ON  |  15 |  1  | 30.00| CABAC|   1  |   OFF   |  0  | 44.118| 48.006| 48.833| 42.161| 46.846| 47.756| 808640| 839413|1436880|  3085493|          90507   |          40886   |
|10.2/(FRExt)| 12-Ju | 03:10 |      input_base_4CIF_0to8.yuv|    3 |  0/0  | 22 | 23 | 24 | 704x576 |    0  |  3 |  OFF |  ON  |  15 |  1  | 30.00| CABAC|   1  |   OFF   |  0  | 44.118| 48.006| 48.833| 42.161| 46.846| 47.756| 808640| 839413|1436880|  3085493|          90804   |          40869   |
|10.2/(FRExt)| 12-Ju | 03:11 |      input_base_4CIF_0to8.yuv|    3 |  0/0  | 22 | 23 | 24 | 704x576 |    0  |  3 |  OFF |  ON  |  15 |  1  | 30.00| CABAC|   1  |   OFF   |  0  | 44.118| 48.006| 48.833| 42.161| 46.846| 47.756| 808640| 839413|1436880|  3085493|          90571   |          40803   |
|10.2/(FRExt)| 12-Ju | 03:13 |      input_base_4CIF_0to8.yuv|    3 |  0/0  | 22 | 23 | 24 | 704x576 |    0  |  3 |  OFF |  ON  |  15 |  1  | 30.00| CABAC|   1  |   OFF   |  0  | 44.118| 48.006| 48.833| 42.161| 46.846| 47.756| 808640| 839413|1436880|  3085493|          90452   |          40813   |
|10.2/(FRExt)| 12-Ju | 03:14 |      input_base_4CIF_0to8.yuv|    3 |  0/0  | 22 | 23 | 24 | 704x576 |    0  |  3 |  OFF |  ON  |  15 |  1  | 30.00| CABAC|   1  |   OFF   |  0  | 44.118| 48.006| 48.833| 42.161| 46.846| 47.756| 808640| 839413|1436880|  3085493|          90428   |          41016   |
